player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,Name,Position,Source,ERA,xERA,era_minus_xera_diff
669701,2024,592,407,0.258,0.242,0.016,0.394,0.365,0.029,0.323,0.309,0.014,Josh Smith,BAT,BBSavant_2024,,,
673548,2024,585,356,0.283,0.252,0.0309999999999999,0.482,0.464,0.0179999999999999,0.365,0.348,0.017,Seiya Suzuki,BAT,BBSavant_2024,,,
682985,2024,584,358,0.262,0.249,0.013,0.479,0.487,-0.008,0.355,0.355,0.0,Riley Greene,BAT,BBSavant_2024,,,
606466,2024,583,407,0.292,0.289,0.003,0.56,0.545,0.015,0.391,0.394,-0.003,Ketel Marte,BAT,BBSavant_2024,,,
669394,2024,579,389,0.25,0.253,-0.003,0.46,0.483,-0.0229999999999999,0.325,0.339,-0.014,Jake Burger,BAT,BBSavant_2024,,,
624585,2024,574,356,0.241,0.242,-0.001,0.442,0.463,-0.021,0.34,0.352,-0.0119999999999999,Jorge Soler,BAT,BBSavant_2024,,,
694192,2024,573,410,0.275,0.267,0.008,0.464,0.431,0.033,0.339,0.327,0.012,Jackson Chourio,BAT,BBSavant_2024,,,
678882,2024,571,398,0.246,0.227,0.0189999999999999,0.39,0.374,0.016,0.286,0.276,0.0099999999999999,Ceddanne Rafaela,BAT,BBSavant_2024,,,
681082,2024,571,422,0.245,0.254,-0.009,0.356,0.369,-0.013,0.296,0.311,-0.015,Bryson Stott,BAT,BBSavant_2024,,,
641355,2024,569,432,0.266,0.241,0.025,0.426,0.4,0.0259999999999999,0.322,0.305,0.017,Cody Bellinger,BAT,BBSavant_2024,,,
663837,2024,567,402,0.257,0.252,0.005,0.423,0.402,0.0209999999999999,0.317,0.312,0.005,Matt Vierling,BAT,BBSavant_2024,,,
683737,2024,567,338,0.248,0.217,0.031,0.44,0.432,0.008,0.336,0.324,0.012,Michael Busch,BAT,BBSavant_2024,,,
663993,2024,565,365,0.265,0.25,0.015,0.401,0.386,0.015,0.337,0.332,0.005,Nathaniel Lowe,BAT,BBSavant_2024,,,
681297,2024,561,330,0.242,0.23,0.0119999999999999,0.447,0.456,-0.009,0.331,0.333,-0.002,Colton Cowser,BAT,BBSavant_2024,,,
694671,2024,557,387,0.253,0.252,0.001,0.415,0.435,-0.02,0.321,0.332,-0.011,Wyatt Langford,BAT,BBSavant_2024,,,
